Designator,Mid X,Mid Y,Rotation,Layer
C3_9,90.851,-67.225,0.0,top
C3_8,68.051,-38.225,0.0,top
C3_7,11.051,-23.725,0.0,top
C3_6,56.651,-81.725,0.0,top
C3_5,22.451,-67.225,0.0,top
C3_4,68.051,-67.225,0.0,top
C3_3,90.851,-52.725,0.0,top
C3_2,22.451,-9.225,0.0,top
C3,11.051,-96.225,0.0,top
D1_56,47.001,-90.575,0.0,top
D1_55,92.601,-18.075,0.0,top
D1_54,12.801,-76.075,0.0,top
D1_53,69.801,-47.075,0.0,top
D1_52,58.401,-47.075,0.0,top
D1_51,58.401,-76.075,0.0,top
D1_50,69.801,-61.575,0.0,top
D1_49,47.001,-18.075,0.0,top
D1_48,24.201,-18.075,0.0,top
D1_47,81.201,-76.075,0.0,top
D1_46,47.001,-47.075,0.0,top
D1_45,35.601,-3.575,0.0,top
D1_44,92.601,-3.575,0.0,top
D1_43,92.601,-32.575,0.0,top
D1_42,81.201,-47.075,0.0,top
D1_41,69.801,-76.075,0.0,top
D1_40,47.001,-32.575,0.0,top
D1_39,12.801,-47.075,0.0,top
D1_38,58.401,-3.575,0.0,top
D1_37,69.801,-18.075,0.0,top
D1_36,12.801,-61.575,0.0,top
D1_35,81.201,-32.575,0.0,top
D1_34,24.201,-76.075,0.0,top
D1_33,81.201,-61.575,0.0,top
D1_32,92.601,-47.075,0.0,top
D1_31,12.801,-90.575,0.0,top
D1_30,24.201,-32.575,0.0,top
D1_29,58.401,-18.075,0.0,top
D1_28,92.601,-76.075,0.0,top
D1_27,35.601,-18.075,0.0,top
D1_26,35.601,-61.575,0.0,top
D1_25,58.401,-32.575,0.0,top
D1_24,81.201,-18.075,0.0,top
D1_23,81.201,-3.575,0.0,top
D1_22,58.401,-90.575,0.0,top
D1_21,35.601,-32.575,0.0,top
D1_20,12.801,-32.575,0.0,top
D1_19,35.601,-90.575,0.0,top
D1_18,24.201,-47.075,0.0,top
D1_17,58.401,-61.575,0.0,top
D1_16,69.801,-3.575,0.0,top
D1_15,69.801,-32.575,0.0,top
D1_14,24.201,-61.575,0.0,top
D1_13,81.201,-90.575,0.0,top
D1_12,47.001,-3.575,0.0,top
D1_11,24.201,-90.575,0.0,top
D1_10,12.801,-3.575,0.0,top
D1_9,35.601,-47.075,0.0,top
D1_8,69.801,-90.575,0.0,top
D1_7,35.601,-76.075,0.0,top
D1_6,92.601,-90.575,0.0,top
D1_5,47.001,-61.575,0.0,top
D1_4,47.001,-76.075,0.0,top
D1_3,24.201,-3.575,0.0,top
D1_2,92.601,-61.575,0.0,top
D1,12.801,-18.075,0.0,top
D2_56,29.401,-3.575,180.0,top
D2_55,75.001,-32.575,180.0,top
D2_54,18.001,-3.575,180.0,top
D2_53,75.001,-47.075,180.0,top
D2_52,29.401,-18.075,180.0,top
D2_51,6.601,-90.575,180.0,top
D2_50,63.601,-61.575,180.0,top
D2_49,52.201,-32.575,180.0,top
D2_48,52.201,-18.075,180.0,top
D2_47,40.801,-76.075,180.0,top
D2_46,86.401,-61.575,180.0,top
D2_45,63.601,-18.075,180.0,top
D2_44,86.401,-32.575,180.0,top
D2_43,18.001,-32.575,180.0,top
D2_42,86.401,-3.575,180.0,top
D2_41,29.401,-76.075,180.0,top
D2_40,6.601,-61.575,180.0,top
D2_39,86.401,-47.075,180.0,top
D2_38,52.201,-90.575,180.0,top
D2_37,40.801,-3.575,180.0,top
D2_36,75.001,-3.575,180.0,top
D2_35,63.601,-32.575,180.0,top
D2_34,6.601,-32.575,180.0,top
D2_33,52.201,-3.575,180.0,top
D2_32,6.601,-47.075,180.0,top
D2_31,63.601,-76.075,180.0,top
D2_30,6.601,-76.075,180.0,top
D2_29,63.601,-47.075,180.0,top
D2_28,6.601,-3.575,180.0,top
D2_27,86.401,-18.075,180.0,top
D2_26,75.001,-76.075,180.0,top
D2_25,52.201,-61.575,180.0,top
D2_24,6.601,-18.075,180.0,top
D2_23,29.401,-32.575,180.0,top
D2_22,52.201,-47.075,180.0,top
D2_21,29.401,-47.075,180.0,top
D2_20,40.801,-18.075,180.0,top
D2_19,18.001,-76.075,180.0,top
D2_18,40.801,-47.075,180.0,top
D2_17,29.401,-90.575,180.0,top
D2_16,52.201,-76.075,180.0,top
D2_15,18.001,-61.575,180.0,top
D2_14,18.001,-90.575,180.0,top
D2_13,29.401,-61.575,180.0,top
D2_12,75.001,-61.575,180.0,top
D2_11,18.001,-47.075,180.0,top
D2_10,63.601,-90.575,180.0,top
D2_9,40.801,-61.575,180.0,top
D2_8,40.801,-90.575,180.0,top
