Designator,Footprint,Quantity,Value,LCSC Part #
"C1_56, C1_55, C1_54, C1_53, C1_52, C1_51, C1_50, C1_49, C1_48, C1_47, C1_46, C1_45, C1_44, C1_43, C1_42, C1_41, C1_40, C1_39, C1_38, C1_37, C1_36, C1_35, C1_34, C1_33, C1_32, C1_31, C1_30, C1_29, C1_28, C1_27, C1_26, C1_25, C1_24, C1_23, C1_22, C1_21, C1_20, C1_19, C1_18, C1_17, C1_16, C1_15, C1_14, C1_13, C1_12, C1_11, C1_10, C1_9, C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1, C2_56, C2_55, C2_54, C2_53, C2_52, C2_51, C2_50, C2_49, C2_48, C2_47, C2_46, C2_45, C2_44, C2_43, C2_42, C2_41, C2_40, C2_39, C2_38, C2_37, C2_36, C2_35, C2_34, C2_33, C2_32, C2_31, C2_30, C2_29, C2_28, C2_27, C2_26, C2_25, C2_24, C2_23, C2_22, C2_21, C2_20, C2_19, C2_18, C2_17, C2_16, C2_15, C2_14, C2_13, C2_12, C2_11, C2_10, C2_9, C2_8, C2_7, C2_6, C2_5, C2_4, C2_3, C2_2, C2",0402,112,1uF,C52923
"C3_56, C3_55, C3_54, C3_53, C3_52, C3_51, C3_50, C3_49, C3_48, C3_47, C3_46, C3_45, C3_44, C3_43, C3_42, C3_41, C3_40, C3_39, C3_38, C3_37, C3_36, C3_35, C3_34, C3_33, C3_32, C3_31, C3_30, C3_29, C3_28, C3_27, C3_26, C3_25, C3_24, C3_23, C3_22, C3_21, C3_20, C3_19, C3_18, C3_17, C3_16, C3_15, C3_14, C3_13, C3_12, C3_11, C3_10, C3_9, C3_8, C3_7, C3_6, C3_5, C3_4, C3_3, C3_2, C3",0402,56,100nF,C1525
"D1_56, D1_55, D1_54, D1_53, D1_52, D1_51, D1_50, D1_49, D1_48, D1_47, D1_46, D1_45, D1_44, D1_43, D1_42, D1_41, D1_40, D1_39, D1_38, D1_37, D1_36, D1_35, D1_34, D1_33, D1_32, D1_31, D1_30, D1_29, D1_28, D1_27, D1_26, D1_25, D1_24, D1_23, D1_22, D1_21, D1_20, D1_19, D1_18, D1_17, D1_16, D1_15, D1_14, D1_13, D1_12, D1_11, D1_10, D1_9, D1_8, D1_7, D1_6, D1_5, D1_4, D1_3, D1_2, D1, D2_56, D2_55, D2_54, D2_53, D2_52, D2_51, D2_50, D2_49, D2_48, D2_47, D2_46, D2_45, D2_44, D2_43, D2_42, D2_41, D2_40, D2_39, D2_38, D2_37, D2_36, D2_35, D2_34, D2_33, D2_32, D2_31, D2_30, D2_29, D2_28, D2_27, D2_26, D2_25, D2_24, D2_23, D2_22, D2_21, D2_20, D2_19, D2_18, D2_17, D2_16, D2_15, D2_14, D2_13, D2_12, D2_11, D2_10, D2_9, D2_8, D2_7, D2_6, D2_5, D2_4, D2_3, D2_2, D2",0402,112,LED,C22355736
"R1_56, R1_55, R1_54, R1_53, R1_52, R1_51, R1_50, R1_49, R1_48, R1_47, R1_46, R1_45, R1_44, R1_43, R1_42, R1_41, R1_40, R1_39, R1_38, R1_37, R1_36, R1_35, R1_34, R1_33, R1_32, R1_31, R1_30, R1_29, R1_28, R1_27, R1_26, R1_25, R1_24, R1_23, R1_22, R1_21, R1_20, R1_19, R1_18, R1_17, R1_16, R1_15, R1_14, R1_13, R1_12, R1_11, R1_10, R1_9, R1_8, R1_7, R1_6, R1_5, R1_4, R1_3, R1_2, R1, R2_56, R2_55, R2_54, R2_53, R2_52, R2_51, R2_50, R2_49, R2_48, R2_47, R2_46, R2_45, R2_44, R2_43, R2_42, R2_41, R2_40, R2_39, R2_38, R2_37, R2_36, R2_35, R2_34, R2_33, R2_32, R2_31, R2_30, R2_29, R2_28, R2_27, R2_26, R2_25, R2_24, R2_23, R2_22, R2_21, R2_20, R2_19, R2_18, R2_17, R2_16, R2_15, R2_14, R2_13, R2_12, R2_11, R2_10, R2_9, R2_8, R2_7, R2_6, R2_5, R2_4, R2_3, R2_2, R2",0402,112,1k,C11702
"U1_56, U1_55, U1_54, U1_53, U1_52, U1_51, U1_50, U1_49, U1_48, U1_47, U1_46, U1_45, U1_44, U1_43, U1_42, U1_41, U1_40, U1_39, U1_38, U1_37, U1_36, U1_35, U1_34, U1_33, U1_32, U1_31, U1_30, U1_29, U1_28, U1_27, U1_26, U1_25, U1_24, U1_23, U1_22, U1_21, U1_20, U1_19, U1_18, U1_17, U1_16, U1_15, U1_14, U1_13, U1_12, U1_11, U1_10, U1_9, U1_8, U1_7, U1_6, U1_5, U1_4, U1_3, U1_2, U1",QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,56,CH32V203F8U6,C7570477
"U2_56, U2_55, U2_54, U2_53, U2_52, U2_51, U2_50, U2_49, U2_48, U2_47, U2_46, U2_45, U2_44, U2_43, U2_42, U2_41, U2_40, U2_39, U2_38, U2_37, U2_36, U2_35, U2_34, U2_33, U2_32, U2_31, U2_30, U2_29, U2_28, U2_27, U2_26, U2_25, U2_24, U2_23, U2_22, U2_21, U2_20, U2_19, U2_18, U2_17, U2_16, U2_15, U2_14, U2_13, U2_12, U2_11, U2_10, U2_9, U2_8, U2_7, U2_6, U2_5, U2_4, U2_3, U2_2, U2",SOT-23-3,56,XC6206PxxxMR,C5446
